Ten_San_Pham,Tu_Gia,Den_Gia,Gia_Goc,Thuong_Hieu
Laptop gaming Lenovo Legion 5 16IRX9 - 83DG004XVN (i7-13650HX/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11),39990000,0,42990000,LENOVO
Laptop HP ProBook 440 G10 - 9H8U9PT (i7-1355U) (Bạc),23790000,0,26090000,HP
Laptop HP 15s 15-fd1058TU - 9Z2X6PA (Ultra 7-155H/RAM 16GB/Onboard/1TB SSD/ Windows 11),23890000,0,25490000,HP
"Apple MacBook Pro M3 14.2"" (16GB/512GB SSD)",44990000,0,0,APPLE
Laptop GIGABYTE G5 ME (i5-12500H/RAM 8GB/RTX 3050Ti/512GB SSD/ Windows 11),19690000,0,27090000,GIGABYTE
Laptop LG Gram 2023 14Z90R-G.AH53A5 (i5-1340P/RAM 16GB/256GB SSD),24490000,0,32490000,LG
Laptop gaming ACER Nitro 5 Tiger AN515-58-5935 (i5-12450H/RTX 4050/RAM 8GB/512GB SSD/ Windows 11),25790000,0,26990000,ACER
Laptop Dell Inspiron 14 5430 - i5P165W11SL2050 (i5-1340P/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11 + Office),27890000,0,29790000,DELL
MacBook Pro 14 inch M3 2023 (8GB/512GB SSD),38390000,0,40890000,APPLE
Laptop gaming Lenovo Legion Pro 5 16IRX9 - 83DF0046VN (i9-14900HX/RAM 32GB/GeForce RTX 4070/1TB SSD/ Windows 11),51990000,0,56990000,LENOVO
Laptop gaming Lenovo LOQ 15IAX9 - 83GS001RVN (i5-12450HX/RAM 12GB/GeForce RTX 3050/512GB SSD/ Windows 11),21490000,0,23990000,LENOVO
Laptop gaming ASUS TUF Gaming F15 FX507VI-LP088W (i7-13620H/RAM 16GB/GeForce RTX 4070/512GB SSD/ Windows 11),37490000,0,45990000,ASUS
Laptop HP ProBook 440 G9 (6M0X3PA) (i5-1235U),19290000,0,21490000,HP
Laptop ASUS Vivobook S 14 Flip TP3402VA-LZ118W (i9-13900H/RAM 16GB/Onboard/512GB SSD/ Windows 11),22890000,0,26490000,ASUS
Laptop Asus Zenbook 14 OLED UX3402VA-KM068W (i7-1360P) (Xanh),26890000,0,31990000,ASUS
Laptop LG Gram 14Z90RS-G.AH54A5 (i5-1340P) (Trắng),31090000,0,38990000,LG
Laptop MSI Modern 15 B7M-238VN (AMD Ryzen 7 7730U) (Đen),13990000,0,16990000,MSI
Laptop HP ProBook 450 G10 - 873J7PA (i5-1340P/RAM 16GB/Onboard/512GB SSD/ Windows 11),20990000,0,23590000,HP
MacBook Pro 14 inch M3 2023 (16GB/512GB SSD),44290000,0,44990000,APPLE
Laptop gaming ACER Nitro V ANV15-51-53NE (i5-13420H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),20490000,0,23990000,ACER
Laptop Lenovo Yoga 7 2-in-1 14IML9 - 83DJ001FVN (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11 + Office),30490000,0,30990000,LENOVO
Laptop gaming HP Victus 16-r0231TX - 9Q982PA (i5-13500H/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),29390000,0,31690000,HP
Laptop ASUS Gaming Vivobook 16X K3605ZC-RP564W (i5-12500H/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),19990000,0,24990000,ASUS
Laptop HP Envy X360 14-fc0091TU - A19C1PA (Ultra 5-125U/RAM 16GB/Onboard/1TB SSD/ Windows 11),29990000,0,31290000,HP
Laptop gaming HP Victus 16-e1106AX (7C0T1PA) (Ryzen 5 6600H/RAM 8GB/GeForce RTX 3050Ti/512GB SSD/ Windows 11),18990000,0,26490000,HP
Laptop HP Probook 450 G10 - 873D3PA (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),23790000,0,26990000,HP
MacBook Air M3 2024 13 inch (8GB/256GB SSD),27290000,0,27990000,APPLE
Laptop gaming ASUS TUF Gaming F15 FX507VU-LP197W (i7-13620H/RAM 32GB/GeForce RTX 4050/512GB SSD/ Windows 11),32990000,0,33990000,ASUS
Laptop Dell Inspiron 14 5440 - N5440-C5U165W11IBD2 (Core 5 120U) (Xanh),25890000,0,27190000,DELL
Laptop HP Envy x360 14-fa0049AU - A19BRPA (Ryzen 5 8640HS/RAM 16GB/Onboard/1TB SSD/ Windows 11),27790000,0,29990000,HP
Laptop HP 14-ep1007TU - 9Z2W1PA (Core 7 150U/RAM 16GB/Onboard/512GB SSD/ Windows 11),21990000,0,27990000,HP
Laptop HP ProBook 440 G10 - 873C1PA (i7-1360P/RAM 16GB/Onboard/512GB SSD/ Windows 11),24990000,0,27690000,HP
Laptop ACER Predator Helios Neo 14 PHN14-51-99Y8 (Ultra 9 185H/RAM 32GB/GeForce RTX 4060/1TB SSD/ Windows 11),49990000,0,0,ACER
Laptop HP Envy X360 14-fc0085TU - A19BVPA (Ultra 7-155U/RAM 32GB/Onboard/512GB SSD/ Windows 11),33790000,0,35290000,HP
Laptop ACER Nitro V 16 ProPanel ANV16-41-R7EN (Ryzen 7 8845HS/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),26990000,0,28790000,ACER
Laptop gaming ASUS TUF Gaming A15 FA507NV-LP046W (Ryzen 7 7735HS/RAM 8GB/GeForce RTX 4060/512GB SSD/ Windows 11),27990000,0,31490000,ASUS
Laptop HP 15-fd0081TU (8D734PA) (i5-1335U/RAM 8GB/Onboard/512GB SSD/ Windows 11),15990000,0,18790000,HP
MacBook Air M2 2022 13 inch (16GB/256GB SSD),29790000,0,39190000,APPLE
MacBook Pro 14 inch M3 Pro 2023 (18GB/512GB SSD),49490000,49990000,51090000,APPLE
Laptop ASUS Zenbook DUO OLED UX8406MA-PZ142W (Ultra 9-185H/RAM 32GB/Onboard/1TB SSD/ Windows 11),58990000,0,59990000,ASUS
Laptop HP Envy x360 14-fa0045AU - A19BMPA (Ryzen 7 8840HS/RAM 32GB/Onboard/1TB SSD/ Windows 11),32590000,0,35090000,HP
Laptop gaming HP Victus 16-r0215TX - 9Q9B8PA (i7-13700H/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),31190000,0,34190000,HP
Laptop gaming HP Victus 16-r0225TX - 9Q976PA (i7-13700H/RAM 32GB/GeForce RTX 4050/512GB SSD/ Windows 11),35390000,35490000,38690000,HP
Laptop HP Envy x360 14-fc0090TU - A19C0PA (Ultra 7-155U/RAM 16GB/Onboard/512GB SSD/ Windows 11),31090000,32590000,33490000,HP
Laptop HP 14-ep1011TU - 9Z2W3PA (Core 5 120U/RAM 16GB/512GB SSD/ Windows 11),19190000,0,20590000,HP
Laptop ASUS Gaming Vivobook 16X K3605ZU-RP296W (i5-12500H/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),24990000,0,28490000,ASUS
Laptop gaming ACER Nitro V 15 ProPanel ANV15-41-R7AP (Ryzen 5 7535HS/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),21490000,0,22990000,ACER
Laptop gaming ACER Nitro 5 AN515-58-50D2 (i5-12500H/RAM 16GB/GeForce RTX 3060/512GB SSD/ Windows 11),27490000,0,35990000,ACER
Laptop MSI Modern 15 B7M-231VN (AMD Ryzen 5 7530U) (Đen),12990000,0,14990000,MSI
Laptop MSI Modern 14 C13M - 609VN (i5-1335U) (Bạc),12990000,0,17990000,MSI
Laptop ACER Predator Helios Neo PHN16-71-54CD (NH.QLTSV.001) (i5-13500HX/RAM 8GB/GeForce RTX 4050/512GB SSD/ Windows 11),32990000,0,35990000,ACER
Laptop MSI Prestige 13 Evo A13M - 081VN ( i7-1360P) (Xám),26990000,0,33990000,MSI
Laptop Acer Swift Go SFG14-71-513F (NX.KPZSV.003) (i5-13500H) (Vàng),23490000,0,24590000,ACER
MacBook Air M2 2023 15 inch (16GB/256GB),34990000,35990000,39990000,APPLE
MacBook Pro 14 inch M3 Pro 2023 (18GB/1TB SSD),57890000,0,61290000,APPLE
Laptop MSI Sword 16 HX B14VFKG-045VN (i7-14700HX) (Xám),38090000,0,39990000,MSI
Laptop gaming HP Victus 16-s0140AX - 9Q987PA (Ryzen 7 7840HS/RAM 32GB/GeForce RTX 4050/512GB SSD/ Windows 11),32190000,0,35890000,HP
MacBook Air M3 2024 13 inch (16GB/256GB SSD/8C CPU/10C GPU),32390000,32690000,33190000,APPLE
Laptop HP Envy x360 14-fa0046AU - A19BNPA (Ryzen 7 8840HS/RAM 32GB/Onboard/512GB SSD/ Windows 11),31390000,0,33790000,HP
Laptop ASUS Vivobook S 15 (S5507) | Snapdragon X Elite; AI Copilot+ PC,33990000,0,34990000,ASUS
Laptop HP 15-fd1045TU - 9Z2X1PA (Core 5 120U/RAM 16GB/Onboard/512GB SSD/ Windows 11),18190000,0,19990000,HP
Laptop ASUS Gaming VivoBook K3605ZF-RP634W (i5-12500H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),18290000,0,20990000,ASUS
Laptop ACER Nitro V 16 ProPanel ANV16-41-R6ZY (Ryzen 5 8645HS/RAM 16GB/GeForce RTX 3050/512GB SSD/ Windows 11),25690000,0,27490000,ACER
Laptop Acer Swift 3 SF314-511-55QE (NX.ABNSV.003) (i5-1135G7) (Bạc),23790000,0,0,ACER
MacBook Air M2 2022 13 inch (8GB/512GB SSD),27990000,28990000,39900000,APPLE
Laptop HP Pavilion 15-eg2089TU (7C0R1PA) (i7-1260P/RAM 8GB/Onboard/512GB SSD/ Windows 11),20190000,0,23990000,HP
Laptop MSI Modern 15 B13M-438VN (i5-1335U) (Đen),13990000,0,18490000,MSI
Laptop Dell Vostro 5630 (V5630-i5P085W11GRU) (i5-1340P) (Xám),21590000,0,23190000,DELL
Laptop GIGABYTE G5 MF-F2VN333SH (i5-12450H/RAM 8GB/GeForce RTX 4050/512GB SSD/ Windows 11),21590000,0,25290000,GIGABYTE
Laptop HP ProBook 440 G10 - 873A2PA (i3-1315U) (Bạc),14690000,0,16990000,HP
Laptop HP Pavilion 15-eg3112TU (8U6L9PA) (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),22790000,0,25290000,HP
Laptop ASUS Vivobook 15X1504ZA-NJ582W (i3-1215U/RAM 8GB/Onboard/512GB SSD/ Windows 11),11490000,0,11790000,ASUS
Laptop HP Pavilion 15-eg3091TU - 8C5L2PA (i7-1355U/RAM 16GB/Onboard/512GB SSD/ Windows 11),22790000,0,25290000,HP
Laptop Acer Swift Go SFG14-71-74CP (NX.KPZSV.004) (i7-13700H) (Vàng),27390000,0,28690000,ACER
Laptop Dell Vostro 3530 - V5I3465W1 (i3-1305U) (Xám),13190000,0,14690000,DELL
MacBook Air M2 2023 15 inch (16GB/512GB),39990000,0,45290000,APPLE
Laptop gaming HP Victus 16-r0228TX - 9Q979PA (i5-13500H/RAM 32GB/GeForce RTX 4050/512GB SSD/ Windows 11),29490000,0,33290000,HP
Laptop gaming HP Victus 16-r0229TX - 9Q980PA (i5-13500H/RAM 32GB/GeForce RTX 4050/512GB SSD/ Windows 11),30990000,0,33290000,HP
MacBook Air M3 13 inch (16GB/512GB SSD),37390000,0,37990000,APPLE
Máy tính xách tay/ Laptop Dell XPS 9340 - XPSU5002W1 (Ultra 5-125H) (Bạc),57090000,0,59990000,DELL
Laptop ASUS Zenbook S 13 OLED UX5304MA-NQ117W (Ultra 7-155U/RAM 32GB/Onboard/1TB SSD/ Windows 11),41490000,0,44990000,ASUS
Laptop HP 15-fd1037TU - 9Z2W5PA (Core 7 150U/RAM 16GB/Onboard/1TB SSD/ Windows 11),22990000,0,24490000,HP
Laptop HP Envy X360 14-fa0047AU - A19BPPA (Ryzen 7 8840HS/RAM 16GB/Onboard/1TB SSD/ Windows 11),30290000,0,31690000,HP
"Apple MacBook Air M2 13.6"" (16GB/256GB SSD)",32690000,0,0,APPLE
Laptop LG Gram 16Z90S-G.AH76A5 (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11),45490000,0,0,LG
Laptop gaming ACER Nitro 5 Eagle AN515-57-54MV (i5-11400H/RAM 8GB/RTX 3050/512GB SSD/ Windows 11),25990000,0,0,ACER
Laptop Asus VivoBook Pro M3401QA-KM006W (AMD Ryzen 5 5600H) (Bạc),15990000,0,18990000,ASUS
Laptop ASUS Vivobook Pro M3401QA-KM025W (Ryzen 7 5800H/RAM 8GB/Onboard/512GB SSD/ Windows 11),16190000,0,20990000,ASUS
Laptop ASUS Vivobook 14X OLED A1403ZA-KM161W A1403ZA-KM161W (14 inch 90Hz/Intel Core i5-12500H/8GB/256GB SSD/Windows 11 Home/1.6kg),19190000,0,20490000,ASUS
Laptop Lenovo IdeaPad 3 15IAU7 - 82RK001QVN (i5-1235U) (Xanh),16790000,0,17990000,LENOVO
Laptop HP Envy X360 13-bf0090TU (76B13PA) (i7-1250U) (Xanh),25090000,0,29690000,HP
Laptop Dell Inspiron 15 3520 (3520-71003262) (i7-1255U) (Đen),19690000,0,22390000,DELL
Laptop ACER Swift Edge SFA16-41-R3L6 (NX.KABSV.002) (Ryzen 7 6800U/RAM 16GB/Onboard/1TB SSD/ Windows 11),38190000,0,39990000,ACER
Laptop MSI Modern 14 C13M-458VN (i5-1335U/RAM 8GB/Onboard/512GB SSD/ Windows 11),13990000,0,17990000,MSI
Laptop GIGABYTE G5 GE-51VN263SH (i5-12500H/RAM 8GB/GeForce RTX 3050/512GB SSD/ Windows 10),19290000,0,25590000,GIGABYTE
Laptop LG Gram 2023 14Z90R-G.AH75A5 (i7-1360P/RAM 16GB/512GB SSD),38990000,0,0,LG
Laptop LG Gram 2023 16Z90RS-G.AH54A5 (i5-1340P/RAM 16GB/512GB SSD/ Windows 11),37990000,0,43990000,LG
Laptop Gigabyte AORUS 15 9MF-E2VN583SH (i5-12500H) (Đen),28690000,0,37990000,GIGABYTE
Laptop MSI Modern 14 C13M - 611VN (i5-1335U) (Bạc),15990000,0,18490000,MSI
Laptop gaming MSI Stealth 16 Mercedes-AMG Motorsport A13VG (i9-13900H/RAM 32GB/GeForce RTX 4070/2TB SSD/ Windows 11),72990000,0,80990000,MSI
Laptop GIGABYTE G5 KF-E3PH333SH (i5-12500H/RAM 8GB/GeForce RTX 4060/512GB SSD/ Windows 11),24690000,0,28990000,GIGABYTE
MacBook Pro 16 inch M3 Pro 2023 (18GB/512GB SSD),62990000,0,66390000,APPLE
MacBook Pro 14 inch M3 Max 2023 (36GB/1TB SSD),78990000,0,81690000,APPLE
MacBook Air M3 2024 15 inch (8GB/256GB SSD),31490000,0,32990000,APPLE
Laptop Lenovo Yoga Pro 7 14IMH9 - 83E2005DVN (Ultra 7-155H/RAM 32GB/GeForce RTX 4050/1TB SSD/ Windows 11),47290000,0,0,LENOVO
Laptop MSI Pulse 16 AI C1VGKG-061VN (Ultra 9-185H/RAM 32GB/GeForce RTX 4070/1TB SSD/ Windows 11),52990000,0,0,MSI
Laptop gaming HP Victus 16-s0136AX - 9Q984PA (Ryzen 5 7640HS/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),26390000,0,33790000,HP
Laptop HP Spectre x360 14-eu0051TU - A2NL3PA (Ultra 7-155H/RAM 16GB/1TB SSD/ Windows 11),51590000,0,54990000,HP
Laptop HP Pavilion X360 14-ek2013TU - 9Z2V4PA (Core 7 150U/RAM 16GB/Onboard/512GB SSD/ Windows 11),26790000,0,31290000,HP
Laptop gaming HP Victus 16-r0216TX - 9Q973PA (i5-13500H/RAM 32GB/GeForce RTX 3050/512GB SSD/ Windows 11),29390000,0,31290000,HP
Laptop ACER Predator Helios Neo 14 PHN14-51-96HG (Ultra 9-185H/RAM 32GB/GeForce RTX 4070/1TB SSD/ Windows 11),59990000,0,0,ACER
Laptop Dell XPS13 9340 - HXRGT (Ultra 7-155H/RAM 16GB/Onboard/1TB SSD/ Windows 11 + Office),60990000,0,0,DELL
"Apple MacBook Pro M3 14.2"" (36GB/1TB SSD)",73990000,0,0,APPLE
"Apple MacBook Air M2 13.6"" (16GB/256GB SSD)",32690000,0,0,APPLE
"Apple MacBook Air Apple M2 13.6"" (16GB/256GB SSD)",32690000,0,0,APPLE
Laptop LG Gram 14Z90S-G.AH75A5 (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11),41390000,0,0,LG
Laptop LG Gram 15Z90ST-G.AH75A5 (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11),46500000,0,0,LG
Laptop LG Gram 14Z90S-G.AH55A5 (Ultra 5-125H/RAM 16GB/Onboard/512GB SSD/ Windows 11),36290000,0,0,LG
Laptop ACER Nitro V 16 ProPanel ANV16-41-R36Y (Ryzen 7 8845HS/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),29990000,0,31990000,ACER
Laptop ACER Swift Go AI OLED SFG14-73-57FZ (Ultra 5-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11),24490000,0,0,ACER
Laptop ACER Swift Go AI OLED SFG14-73-75YM (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11),27490000,0,0,ACER
Laptop ASUS TUF Gaming A15 FA507NUR-LP101W (Ryzen 7 7435HS/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),30490000,0,0,ASUS
Laptop ASUS TUF Gaming A15 FA507NVR-LP091W (Ryzen 7 7435HS/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11 Home),32490000,0,0,ASUS
Laptop ASUS TUF Gaming F15 FX507VU-LP315W (i7-13620H/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),34490000,0,0,ASUS
Laptop ASUS ROG Zephyrus G16 GA605WI-QR090WS (Ryzen AI 9 HX 370/RAM 32GB/GeForce RTX 4070/1TB SSD/ Windows 11 + Office),81990000,0,0,ASUS
Laptop ASUS Vivobook S 14 M5406WA-PP071WS (Ryzen AI 9 HX 370/RAM 32GB/Onboard/1TB SSD/ Windows 11),33990000,0,0,ASUS
Laptop Dell Inspiron 3530 - N3530I716W1 (i7-1355U) (Bạc),23390000,0,26990000,DELL
Laptop ASUS VivoBook 14 OLED M1405YA-KM047W (Ryzen 5 7530U/RAM 8GB/Onboard/512GB SSD/ Windows 11),13690000,0,17990000,ASUS
Laptop Dell Inspiron 15 3530 - P16WD (i7-1355U),21890000,0,22990000,DELL
Laptop Lenovo Ideapad Slim 5 16IMH9 - 83DC001SVN (Core Ultra 7-155H) (Xám),25490000,0,27690000,LENOVO
Laptop HP ProBook 450 G10 - 9H8W0PT (i7-1360P) (Bạc),25790000,0,27690000,HP
Laptop Yoga Slim 7 14IMH9 - 83CV001UVN (Ultra 7 155H) (Xám),30490000,0,30990000,LENOVO
Laptop Lenovo IdeaPad 3 14IAU7-82RJ000HVN (i3-1215U) (Xám),8990000,0,9890000,LENOVO
Laptop gaming ASUS Tuf Gaming A15 FA507NV-LP061W (Ryzen 7 7735HS/RAM 16GB/GeForce RTX 4060/1TB SSD/ Windows 11),28990000,0,32490000,ASUS
Máy tính xách tay/ Laptop Lenovo IdeaPad Slim 5 14IMH9 - 83DA001NVN (Ultra 5-125H) (Xám),20990000,0,22690000,LENOVO
Laptop HP Elitebook 630 G10 - 9J0B5PT (i5-1335U/RAM 16GB/Onboard/512GB SSD/ Windows 11),21490000,0,24390000,HP
Laptop gaming ASUS TUF Gaming FA507RR-HN835W (Ryzen 7 6800H/RAM 16GB/GeForce RTX 3070/512GB SSD/ Windows 11),27990000,0,42990000,ASUS
Laptop Dell Gaming G15-5530-i7H165W11GR4060 (i7-13650HX/RAM 16GB/GeForce RTX 4060/512GB SSD/ Windows 11 + Office),38590000,0,42990000,DELL
Laptop Lenovo Yoga 9 2in1-14IMH9 - 83AC000SVN (Ultra 7-155H/RAM 16GB/Onboard/1TB SSD/ Windows 11 + Office),43990000,0,47990000,LENOVO
Laptop ASUS Gaming ROG G614JU-N3135W (i5-13450HX/RAM 8GB/GeForce RTX 4050/512GB SSD/ Windows 11),29990000,0,37990000,ASUS
Laptop Dell Vostro 3530 - i7U085W11GRD2 (i7-1355U/RAM 8GB/Onboard/512GB SSD/ Windows 11 + Office),21990000,0,24490000,DELL
Laptop ASUS Vivobook 14X OLED K3405ZF-KM184W (i5-12500H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),19690000,0,25990000,ASUS
Laptop gaming ASUS Tuf Gaming F15 FX507VU-LP198W (i7-13620H/RAM 8GB/GeForce RTX 4050/512GB SSD/ Windows 11),27490000,0,30990000,ASUS
Laptop MSI Modern 15 B12M-220VN (i5-1235U) (Đen),10999000,0,18490000,MSI
Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN039W (i7-1360P) (Xanh),28990000,0,33990000,ASUS
MacBook Pro 16 inch M3 Max 2023 (36GB/1TB SSD),87990000,0,91890000,APPLE
Laptop Lenovo IdeaPad Slim 5 14IRL8 - 82XD007QVN (i7-13620H/RAM 16GB/Onboard/512GB SSD/ Windows 11),20990000,0,22990000,LENOVO
Laptop gaming ACER Nitro V ANV15-51-55CA (i5-13420H/RAM 16GB/GeForce RTX 4050/512GB SSD/ Windows 11),25990000,0,27990000,ACER
Laptop gaming ACER Nitro V ANV15-51-72VS (i7-13620H/RAM 16GB/GeForce RTX 2050/512GB SSD/ Windows 11),24490000,0,25990000,ACER
Laptop ACER Swift X 14 - SFX14-71G-78SY (i7-13700H/RAM 32GB/GeForce RTX 4050/1TB SSD/ Windows 11),41090000,0,42990000,ACER
Laptop gaming Lenovo LOQ 15IAX9 - 83GS000FVN (i5-12450HX/RAM 8GB/GeForce RTX 2050/512GB SSD/ Windows 11),17990000,0,20490000,LENOVO
Laptop HP 15s 15-fd1060TU - 9Z2X8PA (Ultra 7-155H/RAM 16GB/Onboard/512GB SSD/ Windows 11),22990000,0,24490000,HP
Laptop ACER Aspire 7 A715-42G-R05G (Ryzen 5 5500U/RAM 8GB/GTX 1650/512GB SSD/ Windows 11),14990000,0,20490000,ACER
Laptop ASUS Vivobook 14X OLED A1403ZA-KM067W (14 inch 90Hz/Intel Core i5-12500H/8GB/256GB SSD/Windows 11 Home/1.6kg),20190000,0,20490000,ASUS
Laptop HP Pavilion 14-dv2073TU (7C0P2PA) (i5-1235U) (Vàng),17190000,0,20990000,HP
Laptop HP Envy x360 13-bf0114TU (7C0P0PA) (i5-1230U) (Bạc),22490000,0,28790000,HP
Laptop ACER Swift Edge SFA16-41-R9WB (NX.KD7SV.001) (Ryzen 7 PRO 6850U/RAM 32GB/Onboard/1TB SSD/ Windows 11 Pro),45990000,0,0,ACER
Laptop ASUS ROG Gaming G614JU-N3777W (i7-13650HX/RAM 16GB/512GB SSD/ Windows 11),34990000,0,43990000,ASUS
Laptop ASUS Zenbook 14 OLED UX3402VA-KM085W (i5-1340P/RAM 16GB/512GB SSD/ Windows 11),26990000,0,27990000,ASUS
Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN038W (i5-1340P) (Xanh),24990000,0,29990000,ASUS
Laptop LG Gram 2023 15Z90RT-G.AH55A5 (i5-1340P/RAM 16GB/512GB SSD/ Windows 11),40890000,0,42990000,LG
